"PERIODE";"IAS_brut";"IAS_lissé";"Incidence_Sentinelles"
2011-02-20;1369,6;42,7;33,7
2011-02-21;78,3;36,5;17,7
2011-02-22;35,7;32,6;17,7
2011-02-23;22,6;30;17,7
2011-02-24;26,4;27,8;17,7
2011-02-25;13,3;25,4;17,7
2011-02-26;23,1;22,4;17,7
2011-02-27;5056,5;19,3;17,7
2011-02-28;27,5;16,8;12,3
2011-03-01;17,2;14,8;12,3
2011-03-02;13,2;13,1;12,3
2011-03-03;6,1;11,4;12,3
2011-03-04;7,6;9,8;12,3
2011-03-05;4,9;8,3;12,3
2011-03-06;1089,9;7;12,3
2011-03-07;12,8;6;7,6
2011-03-08;3,2;5,3;7,6
2011-03-09;5,4;4,8;7,6
2011-03-10;3,9;4,3;7,6
2011-03-11;2,7;4;7,6
2011-03-12;2,4;3,7;7,6
2011-03-13;16,8;3,4;7,6
2011-03-14;3,6;3,3;3,3
2011-03-15;4,1;3,2;3,3
2011-03-16;4;3;3,3
2011-03-17;1,9;2,9;3,3
2011-03-18;3,1;2,7;3,3
2011-03-19;2;2,6;3,3
2011-03-20;0;2,4;3,3
2011-03-21;2,3;2,3;2,9
2011-03-22;2,8;2,2;2,9
2011-03-23;1;2,1;2,9
2011-03-24;4,3;2,1;2,9
2011-03-25;1;2;2,9
2011-03-26;3,2;2;2,9
2011-03-27;99,4;2;2,9
2011-03-28;1,6;2;2
2011-03-29;1,8;2;2
2011-03-30;1,3;2,1;2
2011-03-31;2,6;2,1;2
2011-04-01;2,5;2,2;2
2011-04-02;3,6;2,2;2
2011-04-03;51,3;2,1;2
2011-04-04;1,6;2,1;1,7
2011-04-05;3,1;2;1,7
2011-04-06;1;1,9;1,7
2011-04-07;2,3;1,8;1,7
2011-04-08;1,2;1,7;1,7
2011-04-09;1,3;1,7;1,7
2011-04-10;106;1,7;1,7
2011-04-11;1,4;1,7;1,4
2011-04-12;2,3;1,7;1,4
2011-04-13;1,6;1,7;1,4
2011-04-14;2,1;1,7;1,4
2011-04-15;1,1;1,7;1,4
2011-04-16;1,8;1,7;1,4
2011-04-17;1,4;1,7;1,4
2011-04-18;2,7;1,7;1,1
2011-04-19;1,1;1,7;1,1
2011-04-20;1,6;1,6;1,1
2011-04-21;3,9;1,6;1,1
2011-04-22;0,9;1,5;1,1
